ID,Label,Statement,Subject,Speaker,Speaker Job Title,State,Political Party Affiliation,True Count,False Count,Context
3115,true,The United States has one of the highest corporate tax rates in the world.,"corporations,economy,taxes",barack-obama,President,Illinois,democrat,163,150,the State of the Union address
7925,false,The Foreign Intelligence Surveillance Court is transparent.,"civil-rights,legal-issues,terrorism",barack-obama,President,Illinois,democrat,163,150,an interview with Charlie Rose
12380,true,Half of illegal immigrants come on legal visas and then overstay.,immigration,ken-cuccinelli,Attorney General,Virginia,republican,2,12,a radio interview.
2439,false,Sakineh Mohammadi Ashtiani was never sentenced to stoning.,"crime,human-rights,abc-news-week",mahmoud-ahmadinejad,,,none,0,2,"ABC's ""This Week"""
10054,false,At least 10 ISIS fighters have been caught coming across the Mexican border in Texas and there are dozens more that did not get caught by the Border Patrol.,terrorism,duncan-hunter-2,Congressman,California,republican,0,1,an interview with Greta Van Susteren of Fox News
4237,true,Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,elections,kevin-dewine,Chairman of the Ohio Republican Party,Ohio,republican,1,1,a speech at a GOP dinner
4870,false,Says Mitt Romney has changed his position on supporting the TARP program.,"economy,message-machine-2012",democratic-national-committee,,,none,8,10,a Web ad
524,false,"Sen. Obama wants to ""enact the single largest tax increase since the Second World War.""",taxes,john-mccain,U.S. senator,Arizona,republican,37,78,"Washington, D.C."
6277,true,"Says Mitt Romney had millions in the Cayman Islands, a tax haven.","message-machine-2012,taxes",barack-obama,President,Illinois,democrat,163,150,a TV ad
7708,false,"Says the fertilizer plant that exploded in West, Texas,had not been inspected by the state of Texas since 2006.","crime,economy,public-safety,public-service",jack-ohman,Editorial cartoonist,California,none,0,1,a column on an editorial cartoon.
1544,true,"""Due to ... tax cuts and lower (property) values, 2009 property taxes were almost $3 billion below 2007 property taxes.""",taxes,charlie-crist,,Florida,democrat,19,26,his State of the State address.
3142,false,The economy we preside over today is better than the one we inherited.,economy,hank-johnson,U.S. Congressman,Georgia,democrat,3,3,an online posting
4867,false,Says signers of recall petitions against Wisconsin Gov. Scott Walker are at risk because of newly discovered provisions in state law.,"elections,transparency",media-trackers,,,organization,0,1,an article
7941,false,"Under Republican-backed state budget, the state education agency estimates expansion of Wisconsins school voucher program could cost nearly $2 billion annually","education,state-budget,state-finances,taxes",peter-barca,State Representative,Wisconsin,democrat,3,3,a fund-raising email
2790,true,"Electric utility FirstEnergys annual revenues are greater than the GDP of Haiti, Kyrgyzstan, Iceland, or 15 African nations.","corporations,energy,infrastructure",marcy-kaptur,Representative from Ohio's Ninth Congressional District,Ohio,democrat,4,2,testimony given at a public hearing
11455,false,On support for the Export-Import Bank,trade,ron-johnson,,Wisconsin,republican,10,21,On support for the Export-Import Bank
3655,false,"After the U.S.-led military alliance ejected Saddam Husseins forces from Kuwait in 1991, the Kuwaitis never paid us.","foreign-policy,history,military",donald-trump,President-Elect,New York,republican,37,238,a press conference
1721,false,"""We actually have not required in this law that you carry health insurance.""",health-care,debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,15,19,"a town hall in Fort Lauderdale, Fla."
1098,false,"Health insurance companies are making record profits, right now.","corporations,health-care",barack-obama,President,Illinois,democrat,163,150,a press conference
3661,false,"There are legitimate and widespread anomalies, and widespread questions about the conduct of (the Wisconsin Supreme Court) election, most visibly in Waukesha County, but also in counties around the state.",elections,joanne-kloppenburg,State Appeals Court judge,Wisconsin,none,2,4,remarks at a news conference
8771,true,"Texas is experiencing the fastest population growth in the country, adding more than 1,000 people a day.","energy,population",texans-reliable-power,,,none,1,0,an advertisement
189,true,"""So what sort of services does Romney's health care plan provide? Per the state Web site: $50 co-pay for abortions.""",abortion,fred-thompson,Actor,Tennessee,republican,3,5,a press release
4060,false,Under Gov. Rick Perrys leadership [Texas] has created more jobs over the last decade than the rest of the states combined.,"economy,jobs",bob-mcdonnell,Governor,Virginia,republican,6,14,an op-ed.
7199,true,Individuals with mental illnesses die an average of 25 years earlier than those without a mental illness.,"health-care,medicaid",terry-russell,Executive director of the National Alliance on Mental Illness in Ohio,Ohio,none,0,0,in an interview
5436,false,Claims Supreme Court Justice Ruth Bader Ginsburg said she prefers the South African Constitution over the United States Constitution.,"legal-issues,supreme-court",rick-santorum,,Pennsylvania,republican,7,33,a speech
467,true,"Every family health insurance policy has ""a $900 hidden tax"" to subsidize health care costs of the uninsured.",health-care,hillary-clinton,Presidential candidate,New York,democrat,76,76,"South Bend, Ind."
13030,false,"I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,","candidates-biography,health-care,voting-record",colin-van-ostern,Executive Councilor,New Hampshire,democrat,0,2,a debate
10593,false,The labor participation rate is at an all-time low.,"economy,jobs",lindsey-graham,U.S. senator,South Carolina,republican,2,4,"comments on NBC's ""Meet the Press"""
7943,false,U.S. Rep. Phil Gingrey wants public schools to teach women to stay in their place.,"families,marriage,women",lauren-benedict,"Chairwoman, Georgia's WIN List",Georgia,democrat,0,1,a Georgia's WIN List press release
10726,true,"In Wisconsin, a second arrest for carrying pot is a felony, but a second or subsequent arrest for carrying a gun illegally is a misdemeanor.","crime,criminal-justice,drugs,guns,legal-issues",edward-flynn,,,none,2,1,a news conference
